sgRNA	Lib36_gDNA	Lib36_sorted1	Lib36_sorted2	Lib66_sorted1	Lib66_sorted2	Lib66_gDNA
morR_4	4945	1157	1451	721	197	10266
slr0149_9	1607	1826	530	887	430	3154
gerCb_55	2667	3	3	2411	67	3538
slr1732_16	3809	28	982	1846	8518	5331
Entry301_50	1400	12	557	195	155	2823
slr1222_35	2185	1	2	16	36	2702
Entry1551_57	1157	3	2	1023	2588	1556
ruvB_16	4067	16703	227	1921	102	5276
slr1503_26	2035	9	1	474	68	1145
sll1716_212	6763	9456	11	5530	2420	15561
sll0669_50	5288	36	1690	151	365	5247
Entry1873_23	2983	11	1150	2098	121	4447
sll8020_22	1422	5	1	573	30	2751
pma1_29	4559	147	405	1790	4119	6334
Entry410_75	1442	3	671	84	30	678
sll0872_118	1258	8	0	1075	43	1966
degT_49	2872	0	1	2	6	1421
slr1464_29	1033	5	0	297	19	1477
slr0023_27	680	2	0	8	14	771
Entry1887_32	1250	2	36	15	13	381
Entry1887_33	650	0	1	75	655	116
ppsA_25	3391	5	184	218	646	739
Entry235_51	3534	20	6	115	144	7956
Entry536_46	1760	12	214	180	137	1165
Entry896_27	1746	3	4	113	55	1436
slr0505_68	1273	0	1	406	14	614
slr1194_13	1367	3	3	431	28	1524
Entry2115_0	2774	32	383	175	18	1045
slr1104_101	2171	2	320	815	34	2607
ssl2162_7	1952	9	2	34	36	2583
slr1075_134	31496	6127	6634	3877	794	17667
apcF_59	923	1	15	12	26	1156
Entry1226_19	1051	3	17	69	8	1223
sll0424_34	4743	63	91	353	557	5439
Entry2115_5	1731	17	455	833	1042	1849
sll1880_52	2515	3845	106	265	22	230
gyrA_38	2132	17	56	334	236	3329
cynS_142	1250	15	529	251	148	1699
slr1071_54	1041	2	1	27	37	782
Entry1977_49	751	6	0	333	47	1715
pstA_82	1099	7	2	23	33	1998
Entry15_3	891	3	1189	380	23	777
Entry511_37	2265	9	2	101	96	1838
sll0154_5	1713	18	3	57	119	2802
ssr3465_37	1145	3	7	448	40	2223
Entry1766_35	1094	1	9	204	207	197
sll0922_6	1112	3	1	306	29	1230
Entry398_23	3232	1436	2	18	58	1893
slr0857_264	27622	7431	2618	2121	2622	27923
cmpB_4	399	1	21	0	1	53
yefA_79	1464	2	1	91	28	2163
sll1654_98	1603	279	1	783	26	1052
ssl1911_59	4915	22	9	1621	372	7835
moeA_64	2800	15	444	494	650	4058
Entry1134_42	3229	31	651	822	311	6183
slr0697_20	1408	3627	1	9	41	3079
sll1052_61	2085	5	376	12	47	4842
ndhF_43	2497	5	2	54	51	2731
smpB_250	1762	12	5	445	160	3942
ssr6026_5	3825	523	6	70	130	3497
Entry533_36	969	131	107	7	7	730
Entry125_33	1607	5	3	60	53	837
Entry1621_73	2439	5	639	295	42	3587
ssr6062_81	2199	3	1213	37	24	927
sll1673_59	1663	1	1343	186	28	2191
slr0583_64	2629	27	179	250	316	2676
slr0230_97	9339	444	647	858	164	797
sll1334_149	707	3	3	243	26	346
sll1219_47	1335	16	2	72	11	1453
sll1965_76	1106	5	130	303	26	1106
slr7094_34	1866	2	1	894	22	1129
ssl5114_23	4757	1190	292	665	90	1131
slr0427_76	1058	10	6	72	190	2548
dnaN_64	2651	5	2431	1065	36	1762
slr0356_153	1965	1302	127	6	25	1247
Entry1263_12	1590	450	377	5	29	1094
Entry1198_28	288	0	0	5	6	272
Entry1888_38	1250	2	36	15	13	381
rfbB_56	2662	4	528	652	187	4168
slr1702_4	2125	6	3	271	66	2619
pepP_6	1590	15	2	52	166	1695
Entry218_29	1386	1	0	56	8	1203
topA_27	1392	2	1687	124	18	507
rbcR_61	3165	21	1365	21	51	2391
Entry202_4	773	2	0	3	14	659
slr1902_118	1666	3787	2	263	122	818
slr1520_88	1460	1	333	5	13	1453
rfbD2_86	4037	26	6823	1242	310	9241
sll1268_11	1480	2711	845	713	26	1828
Entry406_69	2033	3	925	292	1607	1163
slr0780_9	2049	18	4	166	218	2937
sll1407_138	9384	6255	14	1835	835	14375
Entry861_6	899	143	0	292	10	1137
sll1780_48	25373	5009	4967	2717	2351	26827
sll0843_58	1463	1018	0	54	1783	1644
slr0352_97	9339	444	647	858	164	797
sll1884_3	556	0	2	1	6	917
ssr1766_74	2431	6	264	49	46	3174
ackA_8	1516	22	4	173	230	1008
Entry1194_6	213	1	0	4	11	135
Entry1194_4	252	0	0	0	2	144
msrA_34	3305	282	7	261	995	5706
Entry1425_6	1781	1200	3	309	81	713
sll0195_62	1657	4	1303	657	38	2732
sll1304_11	1309	4	4	10	18	416
Entry1308_35	2873	33	91	855	67	6225
Entry1912_59	2377	5	205	19	37	912
Entry2030_65	904	2	0	7	12	1486
Entry755_47	1717	3	14	861	29	1538
menD_17	1457	20	3	47	13	693
Entry288_68	1826	18	384	47	110	1100
Entry523_117	2162	6322	1	336	61	2965
ssl5045_129	2180	12	1830	16	201	1719
Entry1625_21	1036	5	802	3	15	742
Entry788_101	3019	1891	4	658	57	4392
Entry268_41	1710	347	2	35	40	2233
hoxF_139	2636	335	9	95	305	616
Entry1879_104	2123	3	58	8	21	423
ho1_19	268	0	0	0	8	209
nrtB_46	539	5	2624	7	11	395
Entry1878_21	5616	910	936	181	430	9453
Entry1169_57	473	0	0	3	7	616
Entry1030_14	1304	0	97	44	12	1198
Entry167_20	708	0	27	398	5	346
ssr2016_62	4517	6183	699	3536	18495	4284
ski2_8	2013	1605	269	548	24	2954
slr5040_74	6763	9456	11	5530	2420	15561
Entry1281_31	3937	1563	5	212	56	5688
Entry1359_47	1351	4	2	5	22	1868
sll1485_27	1261	1	0	165	12	1543
slr6004_88	2513	4	1	226	47	1921
ycf34_20	1538	14	399	32	541	3190
psaK_22	2877	7	95	1282	84	7776
Entry1287_1	725	25	10	97	244	1640
Entry553_34	1091	27	39	87	182	3217
Entry1539_41	4084	458	1626	529	5955	8303
sll1033_14	1817	4	378	205	1081	966
sll5033_125	1825	6	3	255	123	3274
gcvT_32	1852	1	0	118	13	2304
Entry801_55	1315	11	593	45	2404	971
Entry304_37	966	13	1186	177	85	1160
Entry2010_38	2034	916	927	375	471	905
slr1928_80	1147	11	39	954	114	937
slr0517_12	1495	1	0	250	13	589
slr1400_13	1504	18	4	640	294	2740
sll1663_62	1889	7	3	1227	118	1520
slr0280_5	4756	18	20	72	179	4826
serA_43	953	4	69	443	38	338
Entry899_10	242	4	2	43	95	527
Entry178_50	1045	4	272	36	36	288
uvrA_20	1023	133	5	655	13	1080
Entry1665_5	2973	32	80	432	46	2694
slr1450_61	4513	24	29	2061	153	7250
sll1147_114	2416	2	2	736	49	2861
Entry1456_31	1394	0	86	216	13	830
fbp_17	1280	1	29	16	45	360
sll0676_37	1951	0	1	279	53	3096
sll0860_202	1587	365	0	1103	35	2208
rne_82	2789	1	1	398	52	7360
slr7059_23	1958	24	12	193	278	2028
Entry1595_26	1306	3	18	4	20	2282
Entry734_47	1792	2	1	914	48	2301
slr1079_44	252	0	0	34	6	426
sll0912_127	1136	1	0	469	8	173
Entry472_0	1739	1060	2	335	39	1678
rfbB3_49	1265	5	19	447	57	2665
Entry1406_2	1276	0	382	13	14	1092
Entry1723_82	2535	3889	2	220	5535	1584
slr1567_31	762	0	0	0	1	607
ssr1765_88	1511	2	0	254	24	1379
Entry1931_45	1518	3	948	318	17	1595
Entry2096_32	4245	5	726	1359	1956	3926
Entry2040_42	1535	3	2	41	29	2361
sdhB_26	5433	5581	4254	1146	272	3250
sll0154_22	2574	3	118	58	42	5439
slr1930_118	4979	23	84	1348	320	9644
Entry1770_37	2848	13	6	39	104	2730
slr0244_38	1804	1	1	103	20	892
Entry254_35	1616	3	148	801	23	575
sll0742_41	1353	4	0	5	1668	1096
Entry2051_9	1387	99	2	256	22	1881
Entry1715_47	1650	1	1	287	28	3410
Entry198_98	1980	11	1260	30	971	538
sll0484_40	4530	4140	34	71	152	5713
sll1192_6	928	1	16	27	21	1145
ycf45_14	1983	1262	2	508	22	682
slr1376_31	3663	1129	10	64	113	8991
Entry272_37	1345	2	264	49	18	1028
slr0179_58	2722	16	112	273	128	742
Entry585_16	841	2	1	2	3	179
ccmA_64	592	1	0	8	7	183
sll0814_109	1330	3	2	16	71	1224
nrtD_171	1837	4529	0	571	48	2637
apqZ_172	2221	6	2	28	59	1817
sll1265_12	389	1	0	56	5	1446
nusA_66	322	68	0	114	7	459
sll8020_5	2286	5	3	33	68	1946
Entry1541_4	1668	1	0	15	129	1600
rps7_36	241	5	2	28	49	299
sll0576_55	2576	8	1511	2437	42	2785
sll0177_32	1571	0	0	27	18	1858
slr1629_8	1161	12	783	37	110	1815
slr6102_90	1106	4	1	258	26	1484
Entry1562_4	1882	29	1159	11	34	1007
slr1708_26	3692	237	558	1880	379	6107
slr1302_17	2011	14	4	145	109	1888
Entry1220_22	3029	5	25	611	56	736
sll1366_28	1605	543	0	1	129	391
sll0855_49	3561	4276	4	1012	467	2741
ssr3129_17	1397	5	3	72	72	492
Entry947_29	6769	1459	54	3102	476	13494
ftsH_89	123	0	0	1	6	57
sll1942_101	3563	10	4	26	65	5736
slr5111_27	1654	21	172	293	195	2841
slr1800_19	2453	811	105	228	40	3719
Entry788_25	4147	219	1365	1368	128	4590
slr0318_38	1150	12	300	50	116	936
proA2_10	0	0	0	0	0	0
ssr1562_30	1445	1	1	12	21	1944
fhuA2_70	1323	2	152	16	16	1824
slr1886_13	1575	593	1	6	29	543
sll0630_52	2000	3	2	19	30	2927
sll1319_158	502	2	2	185	912	318
sms_34	1429	4567	476	1077	32	2552
Entry1346_50	1125	59	233	131	4	145
gabD_32	1822	2	1	324	31	2396
sll1169_103	3568	13	1786	187	891	4840
Entry2084_8	362	2	0	10	26	312
sll2008_85	5589	126	52	322	591	5557
Entry704_74	2273	9	2	204	48	2023
Entry2056_0	1883	3	1033	674	22	2932
desC(des9)_141	1385	24	8	123	262	1817
sll0263_10	549	0	104	12	5	272
exsB_60	3674	16	2345	3901	288	4137
sll0564_37	2943	11	5	238	210	1598
sll0493_62	1296	12	1	48	145	1537
sll7078_79	858	3	0	177	19	938
sll0141_67	1953	3	1956	1021	39	3443
sll0163_59	3604	2159	1232	277	63	3180
slr1276_4	875	3548	228	641	15	1541
sll0208_3	755	1	1	6	12	1730
rpl12_149	557	2	1	6	29	43
lysC_124	690	2	171	1	2	391
petC2_136	1393	4	2	36	29	2460
