	Lib36_sorted1	Lib36_sorted2	Lib66_sorted1	Lib66_sorted2
sll0577_22	0	1	0	0
slr0695_16	1	0	0	0
pknA3_27	0	0	0	1
sll1858_10	0	1	0	0
slr5016_53	1	0	0	0
sll0736_9	0	1	0	0
rpoC2_19	0	0	1	0
tktA_58	0	0	1	0
slr0168_32	1	0	0	0
gdhA_25	0	0	1	1
slr1572_16	0	1	0	0
manA_11	0	0	1	0
slr1816_468	1	0	0	0
ntcB_82	0	1	0	0
nrtB_46	0	1	0	0
glpX_10	0	0	0	1
slr1768_55	0	0	1	0
slr1342_10	1	0	0	0
slr0353_108	0	1	0	0
sll2015_49	0	0	0	1
glgP_31	1	0	0	0
sll1236_27	1	0	0	0
ssl5113_156	0	0	0	1
rps4_35	0	0	1	0
ssl2920_28	0	0	0	1
slr1266_118	0	1	0	0
slr1880_94	1	0	0	0
sll0281_7	0	0	0	1
sll1770_8	1	0	0	0
murZ_22	0	0	1	1
Entry1687_54	0	0	1	0
Entry549_0	0	0	0	1
Entry1949_49	0	1	0	0
Entry1628_8	1	0	0	0
Entry394_70	0	0	1	0
Entry635_150	0	0	1	0
Entry519_0	0	0	0	1
Entry1015_9	0	1	0	0
