	Lib36_sorted1	Lib36_sorted2	Lib66_sorted1	Lib66_sorted2
sll1338_23	0	1	0	0
slr1906_10	0	1	0	0
slr1907_31	1	0	0	0
slr1900_14	1	0	0	0
slr1901_44	0	1	0	0
slr1902_118	1	0	0	0
ycf46_60	1	0	0	0
ycf45_14	1	0	1	0
speA_64	1	0	0	0
speA_12	1	0	0	0
crtO_124	0	0	1	0
sll1389_76	0	1	0	0
sll1389_12	0	0	0	1
sll1384_12	0	0	0	1
sll7078_63	0	1	0	0
sll1387_35	0	1	0	0
sll1940_41	0	0	1	0
slr0643_58	0	0	1	0
slr0643_70	0	1	0	0
sll1946_49	0	1	0	0
slr0081_52	0	0	1	1
slr0081_71	0	0	1	1
upp_130	0	1	0	0
slr2013_186	1	0	0	0
slr2012_25	0	0	0	1
slr2015_56	1	0	0	0
slr2019_9	0	1	0	0
slr2018_112	0	0	0	1
slr1603_37	0	1	0	0
slr1600_36	0	1	0	0
sll1837_115	0	1	0	0
sll1834_33	1	0	0	0
sll1835_91	0	1	0	0
sll1832_7	0	1	0	0
ssr2708_10	0	1	0	0
fecE_18	1	0	0	0
fecB_74	1	0	0	0
fecC_3	0	1	0	1
fecC_54	0	0	1	0
sll0228_22	1	0	1	0
sll0594_40	0	1	0	0
cbiL_106	0	1	0	0
cbiM_24	0	0	1	0
ziaA_13	1	0	0	0
cbiA_67	0	0	1	0
cbiA_43	0	0	1	0
gltX_22	0	0	1	0
glk_86	0	1	0	0
fecD_29	0	0	1	0
fecD_7	0	1	0	0
slr1117_56	0	1	0	0
slr1116_31	1	0	0	0
slr1115_49	0	0	1	0
slr1114_32	1	0	0	0
slr0468_45	0	0	1	0
gpsA_29	0	0	0	1
gltA_41	1	0	1	1
slr5101_65	0	1	0	0
gltB_3	0	1	1	0
gltD_121	0	1	0	0
gltD_42	0	1	0	0
rfbD2_86	0	1	0	0
slr0514_22	0	0	0	1
slr6038_104	0	1	0	1
slr6038_20	0	0	1	0
slr0516_69	0	0	1	0
slr0510_24	0	1	1	0
slr0511_495	0	1	0	0
slr1183_212	0	1	1	0
sll1673_59	0	1	0	0
sll1673_47	0	0	0	1
slr1119_13	0	0	0	1
ssr3300_46	0	1	0	0
slr0829_187	1	0	0	0
ssr7035_33	0	0	1	0
slr1591_68	0	0	1	0
slr1590_32	0	0	1	0
slr1597_19	0	1	0	0
sll1021_48	0	1	0	0
sll1020_54	0	0	1	0
slr1599_10	0	0	0	1
sll1025_16	0	0	0	1
sll1534_183	1	0	0	0
sll0396_118	0	0	1	0
sll0397_31	1	0	1	0
ssr2317_3	0	0	1	0
ssr2318_40	0	1	0	0
ssl5070_31	0	1	0	0
slr0269_37	1	0	0	0
slr0267_53	0	1	0	0
slr0264_9	1	0	0	0
slr0264_20	0	1	0	0
slr0262_74	1	0	0	0
slr0263_136	1	0	0	0
sll5109_98	1	0	0	0
sll1158_21	0	1	1	0
sll1155_19	0	0	1	0
sll1156_217	0	0	0	1
sll1150_77	0	1	0	0
sll1621_4	0	1	0	0
sll1620_76	0	0	1	0
sll1447_115	0	0	1	0
gcvP_19	1	0	0	0
slr0642_49	0	0	0	1
slr0644_70	0	0	1	0
slr0650_257	0	1	0	0
slr6100_22	0	0	1	0
kdtB_29	1	0	0	0
ssl5045_129	0	1	0	0
htrA_20	0	0	0	1
sll0040_46	0	0	0	1
pgm_98	0	0	0	1
sll0044_28	0	1	0	0
slr1629_8	0	1	0	0
slr5038_29	0	0	1	0
slr1025_113	1	0	0	0
sll0177_13	0	1	0	0
ddlA_85	0	0	0	1
me_21	0	1	0	0
sll0174_29	0	0	1	1
ssr2130_8	0	1	0	0
ssr2130_32	0	0	1	0
ssr0756_84	0	0	1	0
sll0173_22	1	0	0	0
sll0577_40	0	1	0	0
sll0577_22	0	1	0	0
rpl10_56	0	0	0	1
slr0880_22	1	0	0	0
slr0880_47	0	1	0	0
rpl19_4	0	0	0	1
smtB_31	0	1	1	1
slr0885_56	0	1	0	1
ssr2551_41	0	1	1	0
nrtD2_23	0	0	1	0
sll0711_65	0	1	0	0
sll0711_14	0	0	1	1
amiA_24	0	1	0	0
amiA_13	0	0	1	0
slr0865_41	0	1	0	0
slr0865_26	0	0	0	1
gidB_44	0	0	1	0
slr0863_13	1	0	1	0
kdpC_58	0	0	0	1
kdpC_69	1	0	0	0
kdpB_58	0	0	1	0
slr0869_16	0	1	0	0
sll1714_31	0	1	0	0
sll8017_13	0	1	0	0
ho2_8	0	0	1	0
ho2_23	1	0	0	0
cyp2_60	0	0	0	1
gcvH_15	1	0	0	0
slr1932_24	0	0	1	0
slr1932_10	0	0	1	0
slr1424_24	0	0	0	1
ureF_70	0	1	0	0
hemL_3	0	0	1	0
slr1420_29	1	0	0	0
ssl2138_42	0	0	1	0
ssl7039_25	1	0	0	0
ssl7038_20	0	0	1	0
ssl7038_7	1	0	0	0
pgsA_45	0	0	1	0
slr0678_11	0	0	1	0
zntC_70	1	0	0	0
slr0670_107	1	1	0	0
ssr1176_10	0	1	0	0
slr0078_48	0	0	1	0
slr0076_44	0	0	0	1
sms_34	1	0	0	0
sfsA_15	0	1	0	0
slr2000_108	0	0	1	0
slr2004_35	0	1	0	0
slr2005_46	0	0	0	1
prfC_10	1	0	0	0
slr2008_143	0	0	0	1
ssr1258_100	0	0	1	0
slr1610_17	0	0	0	1
nth_25	0	1	0	0
slr1618_144	0	1	0	0
slr1618_92	0	0	0	1
