sgRNA	Lib36_gDNA	Lib36_sorted1	Lib36_sorted2	Lib66_sorted1	Lib66_sorted2	Lib66_gDNA
morR_4	0.00025982951610759096	0.00030867367696512684	0.0005268688593997253	0.00023339625212881013	6.69308794275881e-05	0.0004757382086690846
slr0149_9	8.443802474922117e-05	0.00048715482639440067	0.00019244693003573704	0.00028713242113488847	0.00014609278250691819	0.00014615997566162992
slr1732_16	0.0002001396616489007	0.0	0.00035657148168885615	0.0005975720962965097	0.002893996096264951	0.0002470446513164709
Entry301_50	7.356144035401968e-05	0.0	0.00020225083024510477	6.312381298906792e-05	5.2661351833889106e-05	0.00013082105621204225
slr1222_35	0.00011480839083823786	0.0	0.0	0.0	1.2231023651741986e-05	0.00012521377750086368
Entry1551_57	6.0793276064000556e-05	0.0	0.0	0.0003311572342964948	0.0008792747002974517	7.210682375697405e-05
slr1503_26	0.00010692680794316433	0.0	0.0	0.00015343942234265743	2.310304467551264e-05	5.3060612597516256e-05
sll1716_212	0.00035535430079588223	0.0025227470089734133	0.0	0.00179012659399767	0.0008221965899226557	0.0007211145787161139
sll8020_22	7.471740584529714e-05	0.0	0.0	0.00018548689662941498	0.0	0.00012748449367315913
pma1_29	0.00023954757612426838	3.9217831040513085e-05	0.00014705850314051603	0.0005794442320534954	0.001399432956153479	0.00029352482112896764
Entry410_75	7.576828356464027e-05	0.0	0.00024364507557354632	2.719179636452157e-05	0.0	3.141929724114936e-05
degT_49	0.00015090604049767468	0.0	0.0	0.0	0.0	6.585076899656821e-05
slr1464_29	5.42778342040731e-05	0.0	0.0	9.614242286027269e-05	0.0	6.84458731934773e-05
slr0023_27	3.572984245766671e-05	0.0	0.0	0.0	0.0	3.572902385387339e-05
Entry1887_32	6.567985745894615e-05	0.0	1.3071866945823648e-05	0.0	0.0	1.76559767682565e-05
Entry1887_33	3.4153525878651995e-05	0.0	0.0	2.427838961117997e-05	0.00022253668033030559	5.3755729793116905e-06
ppsA_25	0.0001781763173146291	0.0	6.68117643897653e-05	7.056918580316312e-05	0.0002194789244173701	3.4246107169925336e-05
Entry235_51	0.00018569009300793254	0.0	0.0	3.7226864070475956e-05	4.8924094606967945e-05	0.00036869016054658457
Entry536_46	9.247723930219617e-05	0.0	7.770498684461835e-05	5.826813506683193e-05	4.6545840008018116e-05	5.3987435524983784e-05
Entry896_27	9.174162489865597e-05	0.0	0.0	3.657944034751116e-05	1.8686286134605813e-05	6.654588619216885e-05
slr0505_68	6.688836683619075e-05	0.0	0.0	0.00013142701576185424	0.0	2.845346387325326e-05
slr1194_13	7.182749211710351e-05	0.0	0.0	0.00013951981229891423	0.0	7.0623907073026e-05
Entry2115_0	0.00014575673967289328	0.0	0.00013907014000695713	5.664957575941994e-05	0.0	4.842649796017859e-05
ssl2162_7	0.0001025656654078903	0.0	0.0	1.1006203290401586e-05	1.2231023651741986e-05	0.00011969918108243187
slr1075_134	0.0016549222324215743	0.001634609869287236	0.002408854592183169	0.0012550308869672634	0.0002697620216523094	0.0008187090329784451
apcF_59	4.8498006747685834e-05	0.0	0.0	0.0	0.0	5.35703652076234e-05
Entry1226_19	5.522362415148192e-05	0.0	0.0	2.2336118442285576e-05	0.0	5.667522201463963e-05
sll0424_34	0.00024921565114222527	1.6807641874505607e-05	3.304277477972089e-05	0.00011427028710328707	0.00018924111594500795	0.00025204949512479556
Entry2115_5	9.095346660914863e-05	0.0	0.00016521387389860443	0.0002696519806148389	0.00035402018458653196	8.568477964437341e-05
gyrA_38	0.00011202356488197855	0.0	2.0334015249059006e-05	0.00010811976173512147	8.018115505030858e-05	0.00015426967627697085
cynS_142	6.567985745894615e-05	0.0	0.00019208382262057527	8.12516772320823e-05	5.028309723493928e-05	7.873360768836692e-05
slr1071_54	5.4698185291810355e-05	0.0	0.0	0.0	1.257077430873482e-05	3.6238776463980536e-05
Entry1977_49	3.946045836133485e-05	0.0	0.0	0.00010779604987363907	1.596828087866315e-05	7.947506603034094e-05
pstA_82	5.774573067790545e-05	0.0	0.0	0.0	1.1211771680763487e-05	9.258961045400652e-05
