,sgRNA,Lib36_gDNA,Lib36_sorted1,Lib36_sorted2,Lib66_sorted1,Lib66_sorted2,Lib66_gDNA
0,morR_4,0.00025982951610759096,0.00030867367696512684,0.0005268688593997253,0.0002333962521288101,6.69308794275881e-05,0.0004757382086690847
1,slr0149_9,8.443802474922117e-05,0.00048715482639440067,0.00019244693003573704,0.00028713242113488847,0.00014609278250691819,0.00014615997566162992
2,slr1732_16,0.00020013966164890068,0.0,0.0003565714816888561,0.0005975720962965098,0.002893996096264951,0.0002470446513164709
3,Entry301_50,7.356144035401968e-05,0.0,0.0002022508302451048,6.312381298906792e-05,5.266135183388911e-05,0.00013082105621204222
4,slr1222_35,0.00011480839083823786,0.0,0.0,0.0,1.2231023651741985e-05,0.00012521377750086368
5,Entry1551_57,6.079327606400056e-05,0.0,0.0,0.0003311572342964948,0.0008792747002974517,7.210682375697404e-05
6,slr1503_26,0.00010692680794316432,0.0,0.0,0.00015343942234265743,2.310304467551264e-05,5.306061259751626e-05
8,sll8020_22,7.471740584529714e-05,0.0,0.0,0.00018548689662941495,0.0,0.00012748449367315913
9,pma1_29,0.0002395475761242684,3.921783104051309e-05,0.00014705850314051603,0.0005794442320534954,0.0013994329561534788,0.00029352482112896764
10,Entry410_75,7.576828356464027e-05,0.0,0.00024364507557354632,2.719179636452157e-05,0.0,3.1419297241149356e-05
11,degT_49,0.00015090604049767468,0.0,0.0,0.0,0.0,6.585076899656821e-05
12,slr1464_29,5.4277834204073104e-05,0.0,0.0,9.614242286027268e-05,0.0,6.84458731934773e-05
13,slr0023_27,3.5729842457666714e-05,0.0,0.0,0.0,0.0,3.572902385387339e-05
15,Entry1887_33,3.4153525878651995e-05,0.0,0.0,2.427838961117997e-05,0.0002225366803303056,5.3755729793116905e-06
16,ppsA_25,0.0001781763173146291,0.0,6.681176438976529e-05,7.056918580316312e-05,0.0002194789244173701,3.4246107169925336e-05
17,Entry235_51,0.0001856900930079325,0.0,0.0,3.7226864070475956e-05,4.892409460696794e-05,0.00036869016054658457
19,Entry896_27,9.174162489865596e-05,0.0,0.0,3.657944034751116e-05,1.8686286134605813e-05,6.654588619216885e-05
20,slr0505_68,6.688836683619075e-05,0.0,0.0,0.00013142701576185424,0.0,2.845346387325326e-05
21,slr1194_13,7.182749211710351e-05,0.0,0.0,0.00013951981229891423,0.0,7.0623907073026e-05
22,Entry2115_0,0.00014575673967289328,0.0,0.00013907014000695713,5.664957575941994e-05,0.0,4.842649796017859e-05
23,ssl2162_7,0.00010256566540789029,0.0,0.0,1.1006203290401586e-05,1.2231023651741985e-05,0.00011969918108243188
25,apcF_59,4.849800674768584e-05,0.0,0.0,0.0,0.0,5.3570365207623404e-05
26,Entry1226_19,5.522362415148192e-05,0.0,0.0,2.2336118442285576e-05,0.0,5.6675222014639625e-05
27,sll0424_34,0.00024921565114222527,1.6807641874505607e-05,3.304277477972089e-05,0.00011427028710328708,0.00018924111594500795,0.0002520494951247956
28,Entry2115_5,9.095346660914864e-05,0.0,0.00016521387389860443,0.00026965198061483893,0.00035402018458653196,8.568477964437341e-05
29,gyrA_38,0.00011202356488197856,0.0,2.033401524905901e-05,0.00010811976173512148,8.018115505030858e-05,0.00015426967627697085
30,cynS_142,6.567985745894615e-05,0.0,0.00019208382262057527,8.12516772320823e-05,5.0283097234939284e-05,7.873360768836692e-05
31,slr1071_54,5.4698185291810355e-05,0.0,0.0,0.0,1.2570774308734821e-05,3.6238776463980536e-05
32,Entry1977_49,3.9460458361334854e-05,0.0,0.0,0.00010779604987363907,1.596828087866315e-05,7.947506603034094e-05
33,pstA_82,5.7745730677905445e-05,0.0,0.0,0.0,1.1211771680763487e-05,9.258961045400652e-05
34,Entry15_3,4.681660239673682e-05,0.0,0.0004317347166273421,0.00012301050736331185,0.0,3.600707073211365e-05
